x0,x1,x2,dsq,dsq_dut
-10.0,10.0,30.0,800.0,800.0
-9.797979797979798,10.05050505050505,29.393939393939394,768.0458,768.0458
-9.595959595959595,10.1010101010101,28.78787878787879,736.8296,736.8295
-9.393939393939394,10.151515151515152,28.18181818181818,706.3514,706.3514
-9.191919191919192,10.202020202020202,27.575757575757574,676.6112,676.6112
-8.98989898989899,10.252525252525253,26.96969696969697,647.6091,647.609
-8.787878787878787,10.303030303030303,26.363636363636363,619.345,619.3449
-8.585858585858585,10.353535353535353,25.757575757575758,591.81885,591.81885
-8.383838383838384,10.404040404040405,25.151515151515152,565.03076,565.0308
-8.181818181818182,10.454545454545455,24.545454545454547,538.9807,538.9807
-7.979797979797979,10.505050505050505,23.939393939393938,513.6687,513.6687
-7.777777777777778,10.555555555555555,23.333333333333332,489.09464,489.09467
-7.575757575757576,10.606060606060606,22.727272727272727,465.25864,465.25867
-7.373737373737374,10.656565656565657,22.12121212121212,442.16068,442.16064
-7.171717171717171,10.707070707070708,21.515151515151516,419.8007,419.80072
-6.96969696969697,10.757575757575758,20.909090909090907,398.17877,398.17874
-6.767676767676767,10.808080808080808,20.303030303030305,377.29483,377.29483
-6.565656565656566,10.858585858585858,19.696969696969695,357.14893,357.14893
-6.363636363636363,10.90909090909091,19.09090909090909,337.74106,337.74106
-6.161616161616161,10.95959595959596,18.484848484848484,319.0712,319.07117
-5.959595959595959,11.01010101010101,17.878787878787875,301.13934,301.13937
-5.757575757575758,11.06060606060606,17.272727272727273,283.94553,283.94553
-5.555555555555555,11.11111111111111,16.666666666666664,267.48972,267.4897
-5.353535353535353,11.161616161616163,16.06060606060606,251.77193,251.77191
-5.151515151515151,11.212121212121213,15.454545454545453,236.79216,236.79218
-4.949494949494949,11.262626262626263,14.848484848484848,222.55042,222.55045
-4.747474747474747,11.313131313131313,14.24242424242424,209.04669,209.04669
-4.545454545454545,11.363636363636363,13.636363636363633,196.28099,196.28098
-4.3434343434343425,11.414141414141415,13.030303030303028,184.25331,184.25331
-4.141414141414142,11.464646464646464,12.424242424242426,172.96364,172.96364
-3.9393939393939394,11.515151515151516,11.818181818181817,162.412,162.412
-3.737373737373737,11.565656565656566,11.212121212121211,152.59837,152.59837
-3.5353535353535346,11.616161616161616,10.606060606060606,143.52277,143.52277
-3.333333333333332,11.666666666666668,9.999999999999996,135.18518,135.18518
-3.1313131313131306,11.717171717171718,9.393939393939391,127.58562,127.58562
-2.929292929292928,11.767676767676768,8.787878787878785,120.724075,120.72407
-2.7272727272727266,11.818181818181818,8.18181818181818,114.60055,114.60056
-2.525252525252525,11.868686868686869,7.575757575757574,109.21505,109.21505
-2.3232323232323226,11.919191919191919,6.969696969696969,104.56756,104.567566
-2.12121212121212,11.96969696969697,6.36363636363636,100.6581,100.658104
-1.9191919191919187,12.02020202020202,5.757575757575754,97.48665,97.48664
-1.7171717171717162,12.070707070707071,5.151515151515149,95.05322,95.05323
-1.5151515151515156,12.121212121212121,4.545454545454543,93.35782,93.35782
-1.3131313131313131,12.171717171717171,3.9393939393939377,92.40044,92.400444
-1.1111111111111107,12.222222222222221,3.333333333333332,92.18107,92.18107
-0.9090909090909083,12.272727272727273,2.7272727272727266,92.69972,92.69972
-0.7070707070707059,12.323232323232324,2.1212121212121176,93.9564,93.956406
-0.5050505050505034,12.373737373737374,1.515151515151512,95.951096,95.95109
-0.30303030303030276,12.424242424242424,0.9090909090909065,98.68381,98.68381
-0.10101010101010033,12.474747474747474,0.303030303030301,102.15454,102.15455
0.1010101010101021,12.525252525252526,-0.30303030303030454,106.3633,106.3633
0.30303030303030454,12.575757575757576,-0.9090909090909136,111.310074,111.31008
0.5050505050505052,12.626262626262626,-1.5151515151515191,116.994865,116.994865
0.7070707070707076,12.676767676767676,-2.1212121212121247,123.41768,123.41766
0.9090909090909101,12.727272727272727,-2.7272727272727337,130.5785,130.57852
1.1111111111111107,12.777777777777779,-3.3333333333333357,138.47737,138.47736
1.313131313131315,12.828282828282829,-3.9393939393939448,147.11424,147.11423
1.5151515151515156,12.878787878787879,-4.545454545454547,156.48914,156.48914
1.7171717171717162,12.929292929292929,-5.151515151515149,166.60205,166.60205
1.9191919191919204,12.97979797979798,-5.757575757575765,177.45299,177.45299
2.121212121212121,13.030303030303031,-6.363636363636367,189.04193,189.04193
2.3232323232323253,13.080808080808081,-6.969696969696976,201.36891,201.3689
2.525252525252526,13.131313131313131,-7.575757575757578,214.4339,214.43391
2.72727272727273,13.181818181818183,-8.181818181818187,228.23691,228.23691
2.929292929292931,13.232323232323232,-8.787878787878789,242.77795,242.77795
3.1313131313131315,13.282828282828284,-9.393939393939391,258.057,258.05698
3.3333333333333357,13.333333333333334,-10.000000000000007,274.07407,274.07407
3.5353535353535364,13.383838383838384,-10.606060606060609,290.82916,290.82916
3.737373737373739,13.434343434343434,-11.212121212121218,308.32227,308.32227
3.9393939393939412,13.484848484848484,-11.81818181818182,326.5534,326.5534
4.141414141414144,13.535353535353536,-12.42424242424243,345.52255,345.52255
4.343434343434344,13.585858585858587,-13.030303030303031,365.22974,365.22974
4.545454545454547,13.636363636363637,-13.63636363636364,385.67493,385.67493
4.747474747474749,13.686868686868687,-14.24242424242425,406.85815,406.85812
4.94949494949495,13.737373737373737,-14.848484848484851,428.7794,428.77936
5.151515151515154,13.787878787878789,-15.45454545454546,451.43863,451.43866
5.353535353535355,13.83838383838384,-16.060606060606062,474.8359,474.8359
5.555555555555555,13.88888888888889,-16.666666666666664,498.9712,498.9712
5.75757575757576,13.93939393939394,-17.27272727272728,523.8445,523.8445
5.95959595959596,13.98989898989899,-17.878787878787882,549.4558,549.4558
6.161616161616163,14.040404040404042,-18.48484848484849,575.8052,575.8052
6.363636363636363,14.09090909090909,-19.090909090909093,602.8926,602.89264
6.5656565656565675,14.141414141414142,-19.696969696969703,630.71796,630.71796
6.767676767676768,14.191919191919192,-20.303030303030305,659.2814,659.2814
6.969696969696969,14.242424242424242,-20.909090909090914,688.5828,688.5827
7.171717171717173,14.292929292929294,-21.515151515151523,718.62225,718.6223
7.373737373737374,14.343434343434343,-22.121212121212125,749.3997,749.39966
7.575757575757578,14.393939393939394,-22.727272727272734,780.9152,780.91516
7.777777777777779,14.444444444444445,-23.333333333333336,813.1687,813.16876
7.979797979797983,14.494949494949495,-23.939393939393945,846.1603,846.1602
8.181818181818183,14.545454545454547,-24.545454545454547,879.88983,879.8898
8.383838383838384,14.595959595959595,-25.151515151515156,914.35736,914.3574
8.585858585858588,14.646464646464647,-25.757575757575765,949.563,949.563
8.787878787878789,14.696969696969697,-26.363636363636367,985.5066,985.5066
8.989898989898993,14.747474747474747,-26.969696969696976,1022.18823,1022.1882
9.191919191919194,14.7979797979798,-27.575757575757578,1059.6079,1059.6078
9.393939393939394,14.848484848484848,-28.181818181818187,1097.7655,1097.7656
9.595959595959599,14.8989898989899,-28.787878787878796,1136.6613,1136.6613
9.7979797979798,14.94949494949495,-29.393939393939398,1176.2949,1176.2949
10.0,15.0,-30.0,1216.6666,1216.6667
